Sex,XYZ,Img_Path,Model,Img_Prediction,Age,Blur,Emotion,Device_Timestamp,Colours,Objects,Text,Time,Face_Recog,Date,Device_Make,Num_Faces,GPS
,"[8.825985, 1.0760075, -3.7728362]",../p02_2013-12-03/2013-12-03_10.21.30.jpg,ZTE-BLADE,[],,22.23171155,,2002:12:08 12:00:00,"['#afa2a0', '#f3eded', '#577194', '#22222b', '#7a6757']",[],,10:21:30,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.00305, 1.6208214, -2.6968288]",../p02_2013-12-03/2013-12-03_10.24.00.jpg,ZTE-BLADE,[],,90.44681157,,2002:12:08 12:00:00,"['#8d7c70', '#151215', '#bdb6b9', '#4e404a', '#6c78a5']",['tv'],ray inion 2 Dd ire SR Te hee wpe cee.@) e@-S ooo we ‘a ir a ira gh,10:24:00,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, 1.7978859, -2.5197644]",../p02_2013-12-03/2013-12-03_11.48.32.jpg,ZTE-BLADE,[],,45.56240261,,2002:12:08 12:00:00,"['#f7f7fb', '#889fbb', '#2d1c22', '#645253', '#7a6d6f']",['person'],,11:48:32,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.00305, -0.17706452, -2.3290794]",../p02_2013-12-03/2013-12-03_10.12.29.jpg,ZTE-BLADE,[],,89.54766675,,2002:12:08 12:00:00,"['#191519', '#838496', '#4c4050', '#c4b5b0', '#fcf7f5']",['tv'],,10:12:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.357179, -2.152015, -0.53119355]",../p02_2013-12-03/2013-12-03_11.35.32.jpg,ZTE-BLADE,[],,65.72020021,,2002:12:08 12:00:00,"['#7c747a', '#583c3a', '#f8f9f9', '#b0a8a9', '#2e191a']",['person'],",f",11:35:32,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.00305, 0.17706452, -2.6968288]",../p02_2013-12-03/2013-12-03_10.33.30.jpg,ZTE-BLADE,[],,19.05836285,,2002:12:08 12:00:00,"['#282120', '#7b6251', '#f3e6e1', '#506384', '#ae9589']",['tv'],,10:33:30,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.281172, 3.050958, -3.7728362]",../p02_2013-12-03/2013-12-03_10.20.59.jpg,ZTE-BLADE,[],,23.01944084,,2002:12:08 12:00:00,"['#9f9693', '#efe6e6', '#746355', '#222332', '#587396']",['tv'],,10:20:59,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, 1.253072, -2.5197644]",../p02_2013-12-03/2013-12-03_10.24.29.jpg,ZTE-BLADE,[],,35.69788252,,2002:12:08 12:00:00,"['#7380ad', '#54474e', '#171418', '#988678', '#c5bdc0']",['tv'],,10:24:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, 0.35412905, -3.2416427]",../p02_2013-12-03/2013-12-03_10.59.29.jpg,ZTE-BLADE,[],,7.012845595,,2002:12:08 12:00:00,"['#a1979c', '#1b1b1d', '#f5f2f5', '#554f4f', '#827a7a']",[],Ss anal Serr erae ee a,10:59:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.559293, 1.7978859, -5.938472]",../p02_2013-12-03/2013-12-03_10.55.29.jpg,ZTE-BLADE,[],,14.73135523,,2002:12:08 12:00:00,"['#070606', '#434044', '#a89da2', '#8a858a', '#737275']",[],,10:55:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, -0.7082581, -2.5197644]",../p02_2013-12-03/2013-12-03_10.17.30.jpg,ZTE-BLADE,[],,89.46238655,,2002:12:08 12:00:00,"['#100f11', '#556f99', '#fcf8f4', '#41363a', '#b4978c']",['tv'],,10:17:30,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[6.2926006, 1.4301366, -4.671779]",../p02_2013-12-03/2013-12-03_10.51.59.jpg,ZTE-BLADE,[],,6.680006239,,2002:12:08 12:00:00,"['#96887f', '#fcf8f5', '#544d4b', '#1f1f1d', '#343334']",[],,10:51:59,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[8.825985, 0.89894295, -3.9499009]",../p02_2013-12-03/2013-12-03_10.42.31.jpg,ZTE-BLADE,[],,17.51831457,,2002:12:08 12:00:00,"['#534948', '#6f7e99', '#fcf5eb', '#161416', '#afafb7']",[],»al»,10:42:31,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
['Male'],"[7.7363577, -1.6208214, -5.3936577]",../p02_2013-12-03/2013-12-03_11.57.59.jpg,ZTE-BLADE,[],['38-43'],7.807812055,['Angry'],2002:12:08 12:00:00,"['#b79580', '#464541', '#7a838e', '#66645e', '#e4edf3']",['person'],,11:57:59,"[array([-0.11516838,  0.12266243, -0.00694462, -0.06680483, -0.13402733,
       -0.01053882,  0.03601675, -0.13525529,  0.1064015 , -0.05012265,
        0.11421758, -0.10134488, -0.23629944, -0.03287436, -0.04976116,
        0.13097976, -0.15701075, -0.05497719, -0.16198486, -0.14699964,
       -0.02311713,  0.01951029,  0.01292412,  0.04517989, -0.10578727,
       -0.3103345 , -0.10362744, -0.12761137, -0.0116861 , -0.0509671 ,
       -0.01104921,  0.05513786, -0.16942307, -0.09120112, -0.01774149,
       -0.01120026, -0.09856418, -0.05687172,  0.17368586,  0.02013552,
       -0.12271951,  0.00304817,  0.06603073,  0.28149366,  0.16549115,
        0.04085754,  0.01713853, -0.09292205,  0.15067607, -0.20543382,
        0.09413782,  0.09643675,  0.10092748,  0.04110635,  0.10663635,
       -0.08832509,  0.04253059,  0.11482903, -0.21352109,  0.00406024,
        0.10135774, -0.04321282, -0.0809341 , -0.06978437,  0.22276327,
        0.1736161 , -0.04172615, -0.07208679,  0.21535039, -0.11196503,
        0.00446208,  0.01715062, -0.08338079, -0.17704281, -0.26524577,
        0.10873444,  0.38384706,  0.19577596, -0.10791185, -0.06265739,
       -0.0892546 ,  0.00676496,  0.16104063, -0.00174507, -0.18275188,
       -0.03717213, -0.03259024,  0.11433709,  0.14731516, -0.05706917,
       -0.07888816,  0.20336458,  0.05600668, -0.04873093,  0.03622566,
       -0.0166124 , -0.11171627,  0.02016583, -0.15103623,  0.0406864 ,
        0.16020387, -0.07614094,  0.03804446,  0.10120329, -0.15251921,
        0.09298457,  0.00717026, -0.07544656, -0.05134562, -0.09069613,
       -0.15135406,  0.00674083,  0.16738638, -0.21260379,  0.14770803,
        0.10144916, -0.04012642,  0.13079807,  0.06074668,  0.01208573,
       -0.01295431, -0.08844647, -0.15902731, -0.03861556,  0.23936918,
        0.01935142,  0.07212946,  0.02018945])]",03/12/2013,ZTE,1,"[0.0, 0.0]"
,"[8.458236, -1.6208214, -4.671779]",../p02_2013-12-03/2013-12-03_12.01.29.jpg,ZTE-BLADE,[],,6.690434754,,2002:12:08 12:00:00,"['#686261', '#787175', '#5d5958', '#534a4a', '#392f30']",[],,12:01:29,[],03/12/2013,ZTE,0,"[54.68842429, -5.8813011699999995]"
,"[9.00305, 0.35412905, -2.8738933]",../p02_2013-12-03/2013-12-03_11.49.59.jpg,ZTE-BLADE,[],,61.98066804,,2002:12:08 12:00:00,"['#87a0c9', '#f5f8fc', '#594a55', '#2e1e25', '#736c71']",[],etaa,11:49:59,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.357179, 1.0760075, -2.152015]",../p02_2013-12-03/2013-12-03_11.53.29.jpg,ZTE-BLADE,[],,38.34990331,,2002:12:08 12:00:00,"['#524d52', '#766f6b', '#271c1f', '#f5f8fb', '#8698b3']",[],"™"" nal ae N",11:53:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[9.180115, -0.7082581, -2.8738933]",../p02_2013-12-03/2013-12-03_12.05.59.jpg,ZTE-BLADE,[],,11.97271746,,2002:12:08 12:00:00,"['#51668b', '#ac978f', '#261e22', '#f2e6e4', '#736056']",[],,12:05:59,[],03/12/2013,ZTE,0,"[54.68843733333333, -5.8810093]"
,"[8.825985, 0.53119355, -3.7728362]",../p02_2013-12-03/2013-12-03_12.13.01.jpg,ZTE-BLADE,[],,85.95312485,,2002:12:08 12:00:00,"['#f3ecf3', '#a19c9f', '#72625e', '#342831', '#5f78a6']",['tv'],,12:13:01,[],03/12/2013,ZTE,0,"[54.6783189, -5.9125666]"
,"[9.357179, 0.53119355, -1.9749504]",../p02_2013-12-03/2013-12-03_11.45.59.jpg,ZTE-BLADE,[],,47.75630876,,2002:12:08 12:00:00,"['#664043', '#70a2b3', '#d8d9e8', '#241c21', '#80706e']",['person'],,11:45:59,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
['Male'],"[9.357179, 1.0760075, -1.9749504]",../p02_2013-12-03/2013-12-03_11.41.29.jpg,ZTE-BLADE,[],['25-32'],47.23682561,['Surprise'],2002:12:08 12:00:00,"['#7c6964', '#dfd4da', '#76a2ae', '#6b3939', '#261f22']",['person'],saat aie —_isa | on,11:41:29,"[array([-0.09558967,  0.13725437, -0.01647525, -0.0632264 , -0.128712  ,
       -0.02834086,  0.04251656, -0.07926755,  0.13945392, -0.0873361 ,
        0.14202265, -0.08549961, -0.31939572,  0.03944495, -0.01485091,
        0.12732929, -0.20855895, -0.07589859, -0.20947941, -0.20970505,
       -0.00325526,  0.0691608 , -0.08269341,  0.010559  , -0.0755564 ,
       -0.23056892, -0.0739628 , -0.06551918,  0.03172527, -0.03403106,
        0.04106086,  0.03841403, -0.14502029, -0.10761313,  0.03779587,
       -0.09489161, -0.10179811, -0.0680185 ,  0.18261366, -0.01629771,
       -0.06391026, -0.01880061,  0.13270459,  0.26534659,  0.14897791,
        0.05319161, -0.0237655 , -0.07259935,  0.12619255, -0.26859757,
        0.01499425,  0.15388402,  0.11646459,  0.11143167,  0.12632225,
       -0.19382428,  0.03281773,  0.11418375, -0.20361163,  0.05766309,
        0.12120064, -0.06792162, -0.08847348, -0.06264463,  0.20562156,
        0.1139677 , -0.10601896, -0.10893123,  0.18727945, -0.1547868 ,
       -0.02804305, -0.008164  , -0.0533407 , -0.16815571, -0.24563923,
        0.06258889,  0.33636659,  0.17966536, -0.1172272 , -0.03080235,
       -0.01968932, -0.00600508,  0.14064054, -0.00509098, -0.19188333,
       -0.09254135, -0.03330728,  0.07800458,  0.13724461, -0.01537414,
       -0.05835049,  0.23349932,  0.0634084 , -0.05982542,  0.04935211,
        0.01477303, -0.11196943, -0.05204062, -0.13607308,  0.09573182,
        0.09193745, -0.13350241,  0.01161338,  0.086038  , -0.07888918,
        0.11686972, -0.00931239, -0.01814779, -0.12899083, -0.05053835,
       -0.14681277,  0.03414091,  0.15815231, -0.20935538,  0.1679811 ,
        0.11484385, -0.04868489,  0.13248712,  0.04697126,  0.02216941,
        0.00408735, -0.03983475, -0.15147711, -0.12779614,  0.10683151,
       -0.01920425,  0.04009525,  0.03259572])]",03/12/2013,ZTE,1,"[0.0, 0.0]"
['Female'],"[9.180115, -0.7082581, -2.6968288]",../p02_2013-12-03/2013-12-03_12.04.31.jpg,ZTE-BLADE,[],['48-53'],12.51075511,['Surprise'],2002:12:08 12:00:00,"['#354a73', '#e7ded9', '#9b8d87', '#191618', '#5a4d42']",['tv'],1¥ el th Ses asi ‘,12:04:31,"[array([-0.19926694,  0.14713126, -0.0062426 , -0.05901051, -0.1314916 ,
       -0.01255882,  0.02833389, -0.05889645,  0.1040141 ,  0.07902705,
        0.16198684,  0.00774637, -0.28519577,  0.0018155 , -0.05349106,
        0.1270493 , -0.11130221, -0.0950239 , -0.13802931, -0.18052906,
        0.06007712,  0.06686372, -0.02913781,  0.05793114, -0.13647968,
       -0.24280488, -0.04536531, -0.06551944,  0.09067252, -0.08444175,
        0.00165598,  0.04622317, -0.2037117 , -0.10134956,  0.10196534,
        0.07410179, -0.08030462, -0.06153693,  0.20288311,  0.05610391,
       -0.13689382,  0.04592497,  0.16602394,  0.2483165 ,  0.19441503,
        0.02862569,  0.00761212, -0.05543092,  0.07360794, -0.25328252,
        0.08836611,  0.21134916,  0.10168701,  0.12154442,  0.09447914,
       -0.16273622, -0.03243718,  0.06278049, -0.12077459,  0.02887222,
        0.07232898, -0.11094187, -0.11339072, -0.14356402,  0.07089121,
        0.08925646, -0.0771317 , -0.16316216,  0.11017482, -0.15652196,
       -0.09902838,  0.07459094, -0.06760587, -0.10479432, -0.24842425,
        0.12141716,  0.35865313,  0.18356661, -0.14635248,  0.05813175,
       -0.07009684, -0.04365028,  0.0239666 , -0.0057227 , -0.0683064 ,
       -0.05543761, -0.0338407 ,  0.02240342,  0.1754692 , -0.02089084,
       -0.0158191 ,  0.16989286,  0.031435  ,  0.0340453 ,  0.03751115,
        0.08628847, -0.15398864, -0.07194349, -0.07855223, -0.06593507,
        0.05351019, -0.10755589,  0.03547411,  0.06502846, -0.18671069,
        0.12398833,  0.01055989, -0.0310295 , -0.04963585,  0.01353097,
       -0.09271434,  0.02217263,  0.1264731 , -0.21397215,  0.29998481,
        0.18026142, -0.0836658 ,  0.09156236,  0.1435311 ,  0.04551372,
        0.01877419,  0.00986019, -0.04242308, -0.16864614,  0.06342492,
       -0.02190075,  0.01508837,  0.00655603])]",03/12/2013,ZTE,1,"[54.68843733333333, -5.8810093]"
,"[9.00305, 0.53119355, -3.5957718]",../p02_2013-12-03/2013-12-03_10.47.02.jpg,ZTE-BLADE,[],,26.25640901,,2002:12:08 12:00:00,"['#f3ece8', '#a79a96', '#1f1f33', '#486a93', '#695e59']","['tv', 'tv']",,10:47:02,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.3822284, -0.17706452, -6.115536]",../p02_2013-12-03/2013-12-03_11.14.29.jpg,ZTE-BLADE,['planetarium'],,26.47577443,,2002:12:08 12:00:00,"['#e0dcee', '#7b6f6b', '#9a8d95', '#625b59', '#413e33']",[],,11:14:29,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[7.913422, -1.253072, -5.3936577]",../p02_2013-12-03/2013-12-03_11.56.30.jpg,ZTE-BLADE,[],,4.671522245,,2002:12:08 12:00:00,"['#53565a', '#3d3f43', '#9f96a2', '#fcfafb', '#6c7482']",[],,11:56:30,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
,"[3.7728362, 1.7978859, -1.253072]",../p02_2013-12-03/2013-12-03_10.50.32.jpg,ZTE-BLADE,[],,13.46682899,,2002:12:08 12:00:00,"['#868b91', '#f7efdf', '#c1c3be', '#717679', '#9fa0a1']",[],,10:50:32,[],03/12/2013,ZTE,0,"[0.0, 0.0]"
